id,name,alt_name,latitude,longitude
11,ACEH,ACEH,4.36855,97.0253
12,SUMATERA UTARA,SUMATERA UTARA,2.19235,99.38122
13,SUMATERA BARAT,SUMATERA BARAT,-1.34225,100.0761
14,RIAU,RIAU,0.50041,101.54758
15,JAMBI,JAMBI,-1.61157,102.7797
16,SUMATERA SELATAN,SUMATERA SELATAN,-3.12668,104.09306
17,BENGKULU,BENGKULU,-3.51868,102.53598
18,LAMPUNG,LAMPUNG,-4.8555,105.0273
19,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.75775,107.58394
21,KEPULAUAN RIAU,KEPULAUAN RIAU,-0.15478,104.58037
31,DKI JAKARTA,DKI JAKARTA,6.1745,106.8227
32,JAWA BARAT,JAWA BARAT,-6.88917,107.64047
33,JAWA TENGAH,JAWA TENGAH,-7.30324,110.00441
34,DI YOGYAKARTA,DI YOGYAKARTA,7.7956,110.3695
35,JAWA TIMUR,JAWA TIMUR,-6.96851,113.98005
36,BANTEN,BANTEN,-6.44538,106.13756
51,BALI,BALI,-8.23566,115.12239
52,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.12179,117.63696
53,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-8.56568,120.69786
61,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.13224,111.09689
62,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.49958,113.29033
63,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-2.94348,115.37565
64,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.78844,116.242
65,KALIMANTAN UTARA,KALIMANTAN UTARA,2.72594,116.911
71,SULAWESI UTARA,SULAWESI UTARA,0.65557,124.09015
72,SULAWESI TENGAH,SULAWESI TENGAH,-1.69378,120.80886
73,SULAWESI SELATAN,SULAWESI SELATAN,-3.64467,119.94719
74,SULAWESI TENGGARA,SULAWESI TENGGARA,-3.54912,121.72796
75,GORONTALO,GORONTALO,0.71862,122.45559
76,SULAWESI BARAT,SULAWESI BARAT,-2.49745,119.3919
81,MALUKU,MALUKU,-3.11884,129.42078
82,MALUKU UTARA,MALUKU UTARA,0.63012,127.97202
91,PAPUA BARAT,PAPUA BARAT,-1.38424,132.90253
94,PAPUA,PAPUA,-3.98857,138.34853
